Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
656.951996,6.21184e-011,6.21184e-011
656.959592,6.73393e-011,6.73393e-011
656.967187,3.46795e-011,3.46795e-011
656.974783,1.24129e-011,1.24129e-011
656.982378,1.43126e-011,1.43126e-011
656.989974,5.21926e-011,5.21926e-011
656.997569,4.8432e-011,4.8432e-011
657.005165,2.04661e-011,2.04661e-011
657.01276,1.15442e-011,1.15442e-011
657.020356,6.4832e-013,6.4832e-013
657.027951,2.97223e-011,2.97223e-011
657.035547,3.82193e-011,3.82193e-011
657.043142,1.55734e-011,1.55734e-011
657.050738,6.67498e-012,6.67498e-012
657.058333,1.18103e-011,1.18103e-011
657.065929,2.28492e-011,2.28492e-011
657.073524,3.50751e-011,3.50751e-011
657.08112,1.63493e-011,1.63493e-011
657.088715,2.34905e-012,2.34905e-012
657.096311,2.21717e-012,2.21717e-012
657.103906,4.06913e-012,4.06913e-012
657.111502,3.07852e-012,3.07852e-012
657.119097,8.39066e-013,8.39066e-013
657.126693,5.8209e-012,5.8209e-012
657.134288,1.1408e-011,1.1408e-011
657.141884,4.47051e-012,4.47051e-012
657.149479,3.73154e-012,3.73154e-012
657.157075,1.61989e-011,1.61989e-011
657.16467,4.51842e-011,4.51842e-011
657.172266,5.79039e-011,5.79039e-011
657.179861,9.89723e-011,9.89723e-011
657.187457,2.12363e-010,2.12363e-010
657.195052,2.69296e-010,2.69296e-010
657.202648,6.97157e-011,6.97157e-011
657.210243,3.47025e-011,3.47025e-011
657.217839,2.64213e-011,2.64213e-011
657.225434,5.4576e-011,5.4576e-011
657.233029,4.63292e-011,4.63292e-011
657.240625,2.31765e-011,2.31765e-011
657.24822,2.99624e-011,2.99624e-011
657.255816,2.97674e-011,2.97674e-011
657.263411,2.54635e-011,2.54635e-011
657.271007,7.69061e-012,7.69061e-012
657.278602,5.82057e-012,5.82057e-012
657.286198,1.02258e-012,1.02258e-012
657.293793,6.17281e-012,6.17281e-012
657.301389,5.96958e-013,5.96958e-013
657.308984,5.83648e-012,5.83648e-012
657.31658,2.05433e-011,2.05433e-011
657.324175,4.14594e-011,4.14594e-011
657.331771,4.13951e-011,4.13951e-011
657.339366,2.80038e-011,2.80038e-011
657.346962,3.46577e-012,3.46577e-012
657.354557,8.21843e-012,8.21843e-012
657.362153,2.20655e-011,2.20655e-011
657.369748,6.70774e-011,6.70774e-011
657.377344,7.44889e-011,7.44889e-011
657.384939,3.52192e-011,3.52192e-011
657.392535,6.85756e-011,6.85756e-011
657.40013,1.07559e-010,1.07559e-010
657.407726,5.83844e-011,5.83844e-011
657.415321,2.97226e-011,2.97226e-011
657.422917,2.6096e-011,2.6096e-011
657.430512,1.83154e-011,1.83154e-011
657.438108,9.8516e-012,9.8516e-012
657.445703,1.32611e-011,1.32611e-011
657.453299,1.42679e-011,1.42679e-011
657.460894,1.70753e-011,1.70753e-011
657.46849,3.392e-011,3.392e-011
657.476085,3.83323e-011,3.83323e-011
657.483681,4.79737e-011,4.79737e-011
657.491276,5.80699e-011,5.80699e-011
657.498871,3.58097e-011,3.58097e-011
657.506467,2.90504e-012,2.90504e-012
657.514062,1.7326e-011,1.7326e-011
657.521658,5.20078e-011,5.20078e-011
657.529253,5.41491e-011,5.41491e-011
657.536849,1.98956e-011,1.98956e-011
657.544444,4.79536e-012,4.79536e-012
657.55204,1.57919e-012,1.57919e-012
657.559635,5.24522e-012,5.24522e-012
657.567231,6.01847e-012,6.01847e-012
657.574826,1.46117e-011,1.46117e-011
657.582422,9.29822e-012,9.29822e-012
657.590017,1.02502e-012,1.02502e-012
657.597613,1.02286e-011,1.02286e-011
657.605208,6.86531e-012,6.86531e-012
657.612804,1.90773e-011,1.90773e-011
657.620399,7.60263e-011,7.60263e-011
657.627995,1.25492e-010,1.25492e-010
657.63559,1.27277e-010,1.27277e-010
657.643186,1.27277e-010,1.27277e-010
657.650781,3.00576e-011,3.00576e-011
657.658377,1.31079e-011,1.31079e-011
657.665972,3.13882e-011,3.13882e-011
657.673568,2.54861e-011,2.54861e-011
657.681163,3.25921e-011,3.25921e-011
657.688759,4.96658e-011,4.96658e-011
657.696354,3.61833e-011,3.61833e-011
657.70395,2.04938e-011,2.04938e-011
657.711545,3.7688e-011,3.7688e-011
657.719141,1.00464e-010,1.00464e-010
657.726736,5.79824e-011,5.79824e-011
657.734332,1.36227e-011,1.36227e-011
657.741927,3.51365e-012,3.51365e-012
657.749523,5.46012e-013,5.46012e-013
657.757118,6.26712e-012,6.26712e-012
657.764713,2.07119e-011,2.07119e-011
657.772309,2.08784e-011,2.08784e-011
657.779904,1.80683e-011,1.80683e-011
657.7875,2.01491e-011,2.01491e-011
657.795095,5.00691e-012,5.00691e-012
657.802691,1.189e-011,1.189e-011
657.810286,1.64531e-011,1.64531e-011
657.817882,1.91792e-011,1.91792e-011
657.825477,3.77568e-011,3.77568e-011
657.833073,5.60688e-011,5.60688e-011
657.840668,5.16961e-011,5.16961e-011
657.848264,2.8133e-011,2.8133e-011
657.855859,5.34349e-012,5.34349e-012
657.863455,2.9106e-011,2.9106e-011
657.87105,2.1243e-011,2.1243e-011
657.878646,4.33739e-011,4.33739e-011
657.886241,7.32295e-011,7.32295e-011
657.893837,7.54372e-011,7.54372e-011
657.901432,5.28035e-011,5.28035e-011
657.909028,1.7046e-011,1.7046e-011
657.916623,1.52249e-011,1.52249e-011
657.924219,1.85966e-011,1.85966e-011
657.931814,2.68676e-011,2.68676e-011
