Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1308.00239,3.27871e-012,3.27871e-012
1308.00998,3.40494e-012,3.40494e-012
1308.01758,3.99614e-012,3.99614e-012
1308.02517,3.47779e-012,3.47779e-012
1308.03277,2.77151e-012,2.77151e-012
1308.04036,9.43183e-013,9.43183e-013
1308.04796,1.76402e-012,1.76402e-012
1308.05556,1.42975e-012,1.42975e-012
1308.06315,1.88139e-012,1.88139e-012
1308.07075,1.93849e-012,1.93849e-012
1308.07834,2.40197e-012,2.40197e-012
1308.08594,2.74246e-012,2.74246e-012
1308.09353,4.07308e-012,4.07308e-012
1308.10113,3.37887e-012,3.37887e-012
1308.10872,3.39148e-012,3.39148e-012
1308.11632,3.21222e-012,3.21222e-012
1308.12391,1.96564e-012,1.96564e-012
1308.13151,1.18807e-012,1.18807e-012
1308.13911,3.50266e-012,3.50266e-012
1308.1467,4.4855e-012,4.4855e-012
1308.1543,2.38868e-012,2.38868e-012
1308.16189,1.31845e-012,1.31845e-012
1308.16949,1.65553e-012,1.65553e-012
1308.17708,2.54634e-012,2.54634e-012
1308.18468,2.82996e-012,2.82996e-012
1308.19227,2.42362e-012,2.42362e-012
1308.19987,1.40712e-012,1.40712e-012
1308.20747,2.32051e-012,2.32051e-012
1308.21506,3.41513e-012,3.41513e-012
1308.22266,3.75134e-012,3.75134e-012
1308.23025,2.95496e-012,2.95496e-012
1308.23785,2.41014e-012,2.41014e-012
1308.24544,1.95177e-012,1.95177e-012
1308.25304,1.95687e-012,1.95687e-012
1308.26063,1.63334e-012,1.63334e-012
1308.26823,2.16416e-012,2.16416e-012
1308.27582,3.63236e-012,3.63236e-012
1308.28342,2.91045e-012,2.91045e-012
1308.29102,2.90458e-012,2.90458e-012
1308.29861,4.87377e-012,4.87377e-012
1308.30621,3.97818e-012,3.97818e-012
1308.3138,2.57786e-012,2.57786e-012
1308.3214,1.39447e-012,1.39447e-012
1308.32899,1.31395e-012,1.31395e-012
1308.33659,1.17248e-012,1.17248e-012
1308.34418,1.54955e-012,1.54955e-012
1308.35178,2.84956e-012,2.84956e-012
1308.35938,3.56025e-012,3.56025e-012
1308.36697,3.8305e-012,3.8305e-012
1308.37457,3.01399e-012,3.01399e-012
1308.38216,4.50204e-012,4.50204e-012
1308.38976,4.22788e-012,4.22788e-012
1308.39735,3.12256e-012,3.12256e-012
1308.40495,3.74478e-012,3.74478e-012
1308.41254,5.0268e-012,5.0268e-012
1308.42014,1.47758e-012,1.47758e-012
1308.42773,4.19112e-012,4.19112e-012
1308.43533,5.15692e-012,5.15692e-012
1308.44293,2.93156e-012,2.93156e-012
1308.45052,3.82304e-012,3.82304e-012
1308.45812,4.6104e-012,4.6104e-012
1308.46571,6.25764e-012,6.25764e-012
1308.47331,4.64672e-012,4.64672e-012
1308.4809,3.48698e-012,3.48698e-012
1308.4885,5.19317e-012,5.19317e-012
1308.49609,3.82963e-012,3.82963e-012
1308.50369,3.93299e-012,3.93299e-012
1308.51128,3.85096e-012,3.85096e-012
1308.51888,2.82008e-012,2.82008e-012
1308.52648,1.15998e-012,1.15998e-012
1308.53407,2.36476e-012,2.36476e-012
1308.54167,1.24411e-012,1.24411e-012
1308.54926,2.07848e-012,2.07848e-012
1308.55686,2.009e-012,2.009e-012
1308.56445,3.29856e-012,3.29856e-012
1308.57205,1.8904e-012,1.8904e-012
1308.57964,2.42359e-012,2.42359e-012
1308.58724,2.52995e-012,2.52995e-012
1308.59484,3.33343e-012,3.33343e-012
1308.60243,5.8808e-012,5.8808e-012
1308.61003,5.12567e-012,5.12567e-012
1308.61762,3.05964e-012,3.05964e-012
1308.62522,2.03845e-012,2.03845e-012
1308.63281,2.75627e-012,2.75627e-012
1308.64041,3.10721e-012,3.10721e-012
1308.648,3.39435e-012,3.39435e-012
1308.6556,2.14302e-012,2.14302e-012
1308.66319,2.98947e-012,2.98947e-012
1308.67079,1.72187e-012,1.72187e-012
1308.67839,2.98359e-012,2.98359e-012
1308.68598,3.22262e-012,3.22262e-012
1308.69358,3.10342e-012,3.10342e-012
1308.70117,5.06996e-012,5.06996e-012
1308.70877,3.54679e-012,3.54679e-012
1308.71636,2.78202e-012,2.78202e-012
1308.72396,2.61806e-012,2.61806e-012
1308.73155,3.25938e-012,3.25938e-012
1308.73915,3.88623e-012,3.88623e-012
1308.74674,2.24688e-012,2.24688e-012
1308.75434,3.62708e-012,3.62708e-012
1308.76194,3.47195e-012,3.47195e-012
1308.76953,2.18429e-012,2.18429e-012
1308.77713,1.29887e-012,1.29887e-012
1308.78472,3.62046e-012,3.62046e-012
1308.79232,7.36047e-012,7.36047e-012
1308.79991,7.12006e-012,7.12006e-012
1308.80751,6.11751e-012,6.11751e-012
1308.8151,4.7564e-012,4.7564e-012
1308.8227,3.42368e-012,3.42368e-012
1308.8303,1.81188e-012,1.81188e-012
1308.83789,1.17503e-012,1.17503e-012
1308.84549,3.09841e-012,3.09841e-012
1308.85308,3.30648e-012,3.30648e-012
1308.86068,3.97799e-012,3.97799e-012
1308.86827,4.91385e-012,4.91385e-012
1308.87587,4.249e-012,4.249e-012
1308.88346,2.57049e-012,2.57049e-012
1308.89106,3.15506e-012,3.15506e-012
1308.89865,5.92991e-012,5.92991e-012
1308.90625,6.17763e-012,6.17763e-012
1308.91385,4.11114e-012,4.11114e-012
1308.92144,1.69042e-012,1.69042e-012
1308.92904,1.26175e-012,1.26175e-012
1308.93663,1.57065e-012,1.57065e-012
1308.94423,2.07576e-012,2.07576e-012
1308.95182,3.18689e-012,3.18689e-012
1308.95942,1.87818e-012,1.87818e-012
1308.96701,2.1034e-012,2.1034e-012
1308.97461,3.03657e-012,3.03657e-012
1308.9822,3.18412e-012,3.18412e-012
1308.9898,3.25007e-012,3.25007e-012
1308.9974,2.54763e-012,2.54763e-012
1309.00499,1.7776e-012,1.7776e-012
1309.01259,1.04255e-012,1.04255e-012
1309.02018,1.74651e-012,1.74651e-012
1309.02778,2.87921e-012,2.87921e-012
1309.03537,3.72837e-012,3.72837e-012
1309.04297,3.80393e-012,3.80393e-012
1309.05056,2.28518e-012,2.28518e-012
1309.05816,1.59123e-012,1.59123e-012
1309.06576,2.30716e-012,2.30716e-012
1309.07335,2.06011e-012,2.06011e-012
1309.08095,1.24354e-012,1.24354e-012
1309.08854,2.85515e-012,2.85515e-012
1309.09614,3.748e-012,3.748e-012
1309.10373,5.94233e-012,5.94233e-012
1309.11133,4.8885e-012,4.8885e-012
1309.11892,1.97014e-012,1.97014e-012
1309.12652,1.43232e-012,1.43232e-012
1309.13411,1.83387e-012,1.83387e-012
1309.14171,1.956e-012,1.956e-012
1309.14931,1.58417e-012,1.58417e-012
1309.1569,2.44239e-012,2.44239e-012
1309.1645,2.08585e-012,2.08585e-012
1309.17209,2.94137e-012,2.94137e-012
1309.17969,2.71854e-012,2.71854e-012
1309.18728,1.85245e-012,1.85245e-012
