Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
653.754297,1.93e-011,1.93e-011
653.761892,2.17153e-011,2.17153e-011
653.769488,2.37857e-011,2.37857e-011
653.777083,1.82466e-011,1.82466e-011
653.784679,3.02127e-011,3.02127e-011
653.792274,1.53953e-011,1.53953e-011
653.79987,4.96067e-012,4.96067e-012
653.807465,7.68892e-012,7.68892e-012
653.815061,7.56614e-012,7.56614e-012
653.822656,1.43224e-011,1.43224e-011
653.830252,4.38466e-011,4.38466e-011
653.837847,4.3043e-011,4.3043e-011
653.845443,4.09545e-012,4.09545e-012
653.853038,5.09131e-012,5.09131e-012
653.860634,1.68276e-011,1.68276e-011
653.868229,3.91205e-011,3.91205e-011
653.875825,5.03113e-011,5.03113e-011
653.88342,4.10478e-011,4.10478e-011
653.891016,4.12638e-011,4.12638e-011
653.898611,2.96846e-012,2.96846e-012
653.906207,1.03861e-011,1.03861e-011
653.913802,3.39127e-011,3.39127e-011
653.921398,2.12584e-011,2.12584e-011
653.928993,2.27906e-011,2.27906e-011
653.936589,4.92462e-011,4.92462e-011
653.944184,6.63177e-011,6.63177e-011
653.95178,9.60117e-011,9.60117e-011
653.959375,1.01054e-010,1.01054e-010
653.966971,3.44039e-011,3.44039e-011
653.974566,8.60109e-012,8.60109e-012
653.982161,8.21284e-012,8.21284e-012
653.989757,5.33857e-012,5.33857e-012
653.997352,1.02587e-010,1.02587e-010
654.004948,1.5143e-011,1.5143e-011
654.012543,1.73427e-011,1.73427e-011
654.020139,3.55407e-011,3.55407e-011
654.027734,2.10576e-011,2.10576e-011
654.03533,1.29347e-011,1.29347e-011
654.042925,1.18635e-011,1.18635e-011
654.050521,2.03747e-011,2.03747e-011
654.058116,1.17012e-011,1.17012e-011
654.065712,3.01116e-012,3.01116e-012
654.073307,7.26989e-012,7.26989e-012
654.080903,1.97496e-011,1.97496e-011
654.088498,3.33871e-011,3.33871e-011
654.096094,1.4844e-011,1.4844e-011
654.103689,3.45706e-012,3.45706e-012
654.111285,4.70185e-013,4.70185e-013
654.11888,8.86089e-013,8.86089e-013
654.126476,4.50988e-012,4.50988e-012
654.134071,3.5231e-012,3.5231e-012
654.141667,6.32775e-012,6.32775e-012
654.149262,7.27574e-012,7.27574e-012
654.156858,2.09935e-011,2.09935e-011
654.164453,1.35141e-011,1.35141e-011
654.172049,2.6772e-012,2.6772e-012
654.179644,1.5474e-012,1.5474e-012
654.18724,3.42094e-011,3.42094e-011
654.194835,1.20228e-011,1.20228e-011
654.202431,6.46503e-011,6.46503e-011
654.210026,8.58071e-011,8.58071e-011
654.217622,6.54961e-011,6.54961e-011
654.225217,3.14169e-011,3.14169e-011
654.232813,8.59557e-012,8.59557e-012
654.240408,1.90532e-012,1.90532e-012
654.248004,1.20703e-012,1.20703e-012
654.255599,1.49272e-011,1.49272e-011
654.263194,2.633e-011,2.633e-011
654.27079,1.50828e-011,1.50828e-011
654.278385,1.07992e-011,1.07992e-011
654.285981,1.69974e-011,1.69974e-011
654.293576,2.74146e-011,2.74146e-011
654.301172,3.44359e-011,3.44359e-011
654.308767,3.4534e-011,3.4534e-011
654.316363,1.29353e-011,1.29353e-011
654.323958,1.60748e-011,1.60748e-011
654.331554,4.12334e-011,4.12334e-011
654.339149,2.90788e-011,2.90788e-011
654.346745,3.49738e-011,3.49738e-011
654.35434,3.30876e-011,3.30876e-011
654.361936,9.12313e-012,9.12313e-012
654.369531,1.93322e-012,1.93322e-012
654.377127,2.15705e-011,2.15705e-011
654.384722,3.62916e-011,3.62916e-011
654.392318,3.3918e-012,3.3918e-012
654.399913,1.23029e-011,1.23029e-011
654.407509,2.04662e-011,2.04662e-011
654.415104,1.42182e-011,1.42182e-011
654.4227,3.54945e-011,3.54945e-011
654.430295,7.30282e-011,7.30282e-011
654.437891,5.14225e-011,5.14225e-011
654.445486,2.44065e-011,2.44065e-011
654.453082,3.23475e-012,3.23475e-012
654.460677,1.46594e-011,1.46594e-011
654.468273,3.42496e-011,3.42496e-011
654.475868,1.8391e-011,1.8391e-011
654.483464,1.66959e-011,1.66959e-011
654.491059,2.52081e-011,2.52081e-011
