t	signal
s	
	
0,02088	32,73287
0,0209	21,48287
0,02092	12,60787
0,02094	5,98287
0,02096	0,73287
0,02098	-3,14213
0,021	-19,89213
0,02102	-19,64213
0,02104	-5,64213
0,02106	-15,89213
0,02108	-17,64213
0,0211	-17,76713
0,02112	-20,89213
0,02114	-24,89213
0,02116	-24,51713
0,02118	-22,26713
0,0212	-19,64213
0,02122	-24,51713
0,02124	-24,89213
0,02126	-15,26713
0,02128	-16,51713
0,0213	-12,76713
0,02132	-11,01713
0,02134	3,73287
0,02136	4,23287
0,02138	1,73287
0,0214	-10,64213
0,02142	-18,51713
0,02144	-9,26713
0,02146	-3,76713
0,02148	-2,51713
0,0215	2,35787
0,02152	-1,76713
0,02154	-5,14213
0,02156	-7,01713
0,02158	-1,26713
0,0216	-0,64213
0,02162	2,98287
0,02164	1,48287
0,02166	6,10787
0,02168	4,48287
0,0217	-6,26713
0,02172	-4,01713
0,02174	-5,64213
0,02176	6,35787
0,02178	7,73287
0,0218	11,10787
0,02182	7,73287
0,02184	3,85787
0,02186	4,98287
0,02188	7,98287
0,0219	7,48287
0,02192	14,73287
0,02194	25,23287
0,02196	24,85787
0,02198	25,73287
0,022	30,35787
0,02202	19,60787
0,02204	16,23287
0,02206	8,98287
0,02208	16,10787
0,0221	20,98287
0,02212	12,10787
0,02214	13,23287
0,02216	11,35787
0,02218	11,23287
0,0222	-2,14213
0,02222	-10,51713
0,02224	-14,64213
0,02226	-8,39213
0,02228	-11,14213
0,0223	-24,64213
0,02232	-25,01713
0,02234	-23,76713
0,02236	-18,26713
0,02238	-17,01713
0,0224	-9,89213
0,02242	-10,14213
0,02244	-14,01713
0,02246	-18,39213
0,02248	-9,89213
0,0225	-9,26713
0,02252	-5,64213
0,02254	0,60787
0,02256	0,98287
0,02258	10,60787
0,02261	11,85787
0,02263	15,10787
0,02265	15,85787
0,02267	15,60787
0,02269	13,98287
0,02271	14,48287
0,02273	13,98287
0,02275	16,48287
0,02277	13,73287
0,02279	15,48287
0,02281	23,60787
0,02283	19,60787
0,02285	9,73287
0,02287	13,73287
0,02289	15,85787
0,02291	10,48287
0,02293	7,98287
0,02295	5,10787
0,02297	-4,39213
0,02299	-0,76713
0,02301	-4,76713
0,02303	-5,39213
0,02305	0,35787
0,02307	4,60787
0,02309	8,85787
0,02311	14,98287
0,02313	7,23287
0,02315	13,35787
0,02317	11,60787
0,02319	10,35787
0,02321	4,98287
0,02323	3,60787
0,02325	13,23287
0,02327	0,10787
0,02329	-9,14213
0,02331	-7,51713
0,02333	3,35787
0,02335	-2,51713
0,02337	-1,76713
0,02339	-3,14213
0,02341	2,85787
0,02343	-6,26713
0,02345	-7,14213
0,02347	1,35787
0,02349	-3,01713
0,02351	-1,39213
0,02353	12,48287
0,02355	14,35787
0,02357	13,35787
0,02359	12,98287
0,02361	14,23287
0,02363	19,48287
0,02365	17,35787
0,02367	21,48287
0,02369	22,48287
0,02371	26,48287
0,02373	29,23287
0,02375	43,48287
0,02377	36,23287
0,02379	41,60787
0,02381	38,35787
0,02383	27,10787
0,02385	20,23287
0,02387	6,73287
0,02389	2,73287
0,02391	10,35787
0,02393	8,60787
0,02395	14,23287
0,02397	4,23287
0,02399	3,73287
0,02401	9,73287
0,02403	9,60787
0,02405	12,23287
0,02407	13,23287
0,02409	5,10787
0,02411	-11,89213
0,02413	-12,76713
0,02415	-19,26713
0,02417	-15,14213
0,02419	-26,14213
0,02421	-18,26713
0,02423	-20,89213
0,02425	-21,89213
0,02427	-24,39213
0,02429	-19,64213
0,02431	-8,89213
0,02433	-7,76713
0,02435	-18,01713
0,02437	-22,14213
0,02439	-20,76713
0,02441	-26,01713
0,02443	-31,51713
0,02445	-21,26713
0,02447	-12,76713
0,02449	-11,14213
0,02451	-15,26713
0,02453	-11,01713
0,02455	-4,39213
0,02457	-4,89213
0,02459	-0,14213
0,02461	-3,39213
0,02463	4,73287
0,02465	1,23287
0,02467	-3,51713
0,02469	-15,39213
0,02471	-5,89213
0,02473	-13,14213
0,02475	-20,76713
0,02477	-6,89213
0,02479	-17,64213
0,02481	-16,89213
0,02483	-14,39213
0,02485	-9,01713
0,02487	-9,89213
0,02489	-20,26713
0,02491	-20,89213
0,02493	-17,51713
0,02495	-17,76713
0,02497	-24,14213
0,02499	-30,39213
0,02501	-14,89213
0,02503	-15,14213
0,02505	-13,01713
0,02507	-15,89213
0,02509	-13,64213
0,02511	-4,14213
0,02513	0,98287
0,02515	5,98287
0,02517	-3,01713
0,02519	-5,76713
0,02521	-9,39213
0,02523	-6,26713
0,02525	-6,76713
0,02527	0,35787
0,02529	-10,64213
0,02531	-13,51713
0,02533	-19,39213
0,02535	-22,14213
0,02537	-26,01713
0,02539	-27,14213
0,02541	-29,89213
0,02543	-32,89213
0,02545	-22,39213
0,02547	-32,51713
0,02549	-30,01713
0,02551	-36,64213
0,02553	-32,39213
0,02555	-27,64213
0,02557	-37,51713
0,02559	-39,89213
0,02561	-51,64213
0,02563	-45,14213
0,02565	-41,64213
0,02567	-33,14213
0,02569	-29,39213
0,02571	-17,01713
0,02573	-10,14213
0,02575	-10,14213
0,02577	-7,26713
0,02579	-10,39213
0,02581	-8,01713
0,02583	-1,39213
0,02585	-7,26713
0,02587	1,10787
0,02589	1,98287
0,02591	20,10787
0,02593	26,10787
0,02595	26,10787
0,02597	35,23287
0,02599	34,60787
0,02601	27,10787
0,02603	30,98287
0,02605	30,48287
0,02607	32,73287
0,02609	24,73287
0,02611	24,85787
0,02613	22,60787
0,02615	24,60787
0,02617	22,60787
0,02619	20,23287
0,02621	17,60787
0,02623	20,10787
0,02625	16,23287
0,02627	9,48287
0,02629	10,23287
0,02631	-1,76713
0,02633	6,48287
0,02635	7,23287
0,02637	8,98287
0,02639	-2,64213
0,02641	-0,64213
0,02643	2,48287
0,02645	3,60787
0,02647	-3,64213
0,02649	-12,26713
0,02651	-7,01713
0,02653	2,60787
0,02655	9,10787
0,02657	9,23287
0,02659	7,10787
0,02661	7,10787
0,02663	9,48287
0,02665	16,10787
0,02667	6,35787
0,02669	1,98287
0,02671	1,98287
0,02673	3,98287
0,02675	9,60787
0,02677	6,98287
